USER_ID,TEAM,ROLE,DEPARTMENT
27130,5129,regular,Sales
27131,5482,regular,Sales
27134,5093,regular,Sales
27136,4875,manager,Marketing
27143,4672,regular,Sales
27148,4286,regular,Sales
27150,3428,regular,Sales
27151,5532,regular,Sales
27156,5553,regular,Sales
27157,5553,regular,Sales
27161,5021,regular,Customer Success
27162,4195,regular,Sales
27168,5482,regular,Sales
27169,4889,manager,Marketing
27182,5424,manager,Marketing
27184,3858,manager,Marketing
27186,5487,manager,Human Resources
27196,5571,manager,Marketing
27197,5093,regular,Marketing
27199,5129,regular,Sales
27224,5203,regular,Sales
27229,5129,regular,Sales
27230,5503,manager,Other
27231,3323,regular,Customer Success
27240,4191,regular,Sales
27247,5572,manager,Marketing
27249,5102,regular,Marketing
27255,5025,manager,Customer Success
27256,5573,manager,Sales
27257,5558,manager,Marketing
27264,4980,regular,Sales
27268,5498,regular,Sales
27272,4262,regular,Sales
27275,5280,regular,Customer Success
27278,5280,regular,Customer Success
27291,5513,regular,Sales
27294,4870,regular,Sales
27295,5569,regular,Sales
27297,5280,regular,Customer Success
27308,5558,manager,Marketing
27310,5576,manager,Marketing
27311,3771,regular,Sales
27315,4793,regular,Sales
27321,5033,manager,Sales
27331,5024,regular,Sales
37503,6210,regular,Sales
37505,5185,manager,Sales
37511,4670,regular,Sales
37517,5424,manager,Other
37519,3462,regular,Sales
37520,3462,regular,Sales
37521,3462,regular,Sales
37523,4818,regular,Sales
37524,4241,regular,Sales
37526,3561,manager,Marketing
37529,4241,regular,Sales
37530,5126,manager,Marketing
37532,6224,regular,Sales
37535,6364,manager,Marketing
37536,5666,manager,Marketing
37540,3711,regular,Marketing
37544,6393,manager,Marketing
37549,4069,regular,Sales
37551,4946,regular,Sales
37556,5240,regular,Sales
37563,4946,regular,Sales
37564,4286,manager,Marketing
37572,4622,regular,Sales
37573,6224,regular,Sales
37576,6141,regular,Sales
37583,4069,regular,Sales
37588,6210,regular,Sales
37590,6228,regular,Customer Success
37591,5203,regular,Sales
37592,6228,regular,Customer Success
37594,6228,regular,Sales
37595,3718,regular,Sales
37599,5656,regular,Sales
37600,5656,regular,Sales
37601,5723,regular,Sales
37602,6228,regular,Sales
37603,4969,manager,Marketing
37605,5656,manager,Sales
37611,5850,manager,Marketing
37615,6228,regular,Customer Success
37617,4626,regular,Sales
37621,4286,regular,Sales
37623,6228,regular,Customer Success
37626,5033,manager,Sales
37628,6228,regular,Customer Success
37630,5139,manager,Marketing
37632,4286,regular,Other
37633,6228,regular,Customer Success
37635,6209,regular,Sales
37636,6209,regular,Sales
37637,6209,manager,Sales
37638,5139,manager,Sales
37639,4438,regular,Marketing
37641,3428,regular,Sales
37642,6209,regular,Sales
37643,5492,manager,Marketing
37648,6176,regular,Marketing
37656,5826,manager,Marketing
37657,4241,regular,Sales
37659,6338,manager,Sales
37662,6338,manager,Sales
37664,4069,regular,Marketing
37666,5586,manager,Marketing
37667,4962,manager,Human Resources
37671,4286,regular,Sales
37672,5489,regular,Sales
37675,6221,regular,Sales
37676,5205,regular,Customer Success
37677,5615,regular,Sales
37678,6141,regular,Sales
37681,5428,regular,Customer Success
37683,4241,regular,Sales
37685,5659,manager,Sales
37690,6141,regular,Sales
37693,6176,regular,Human Resources
37696,6237,regular,Sales
37705,6237,regular,Sales
37706,4779,regular,Sales
37707,4648,regular,Sales
37711,4911,regular,Sales
37713,4911,manager,Marketing
37714,4785,regular,Sales
37715,4824,regular,Sales
37716,4824,regular,Sales
37721,5489,regular,Sales
37722,5516,regular,Sales
37724,6407,manager,Marketing
37725,4962,manager,Human Resources
37726,4286,regular,Sales
37727,4824,regular,Sales
37730,3173,regular,Sales
16829,4286,regular,Sales
16839,4286,regular,Sales
16845,4007,regular,Sales
16846,4241,regular,Sales
16854,4007,regular,Customer Success
16864,4940,manager,Marketing
16865,5044,manager,Marketing
16866,5045,manager,Marketing
16877,4829,manager,Other
16881,4007,regular,Sales
16882,4905,regular,Sales
16898,4946,regular,Sales
16901,4748,manager,Customer Success
16904,4007,regular,Sales
16917,4722,regular,Human Resources
16939,5045,manager,Marketing
16949,5026,regular,Sales
16952,5026,regular,Sales
16955,5026,regular,Sales
16956,5026,regular,Sales
16957,5026,regular,Sales
16965,5026,regular,Sales
16972,4744,regular,Sales
16979,5026,regular,Sales
16982,5026,regular,Sales
16984,5026,regular,Sales
16985,4890,regular,Sales
16990,5026,regular,Customer Success
16994,5026,regular,Sales
17002,4995,regular,Sales
17033,4007,regular,Sales
17037,4905,regular,Sales
17052,4262,regular,Sales
17065,4890,manager,Marketing
17066,5058,manager,Marketing
17068,3454,regular,Sales
17084,4672,regular,Sales
17088,4870,regular,Other
17109,3357,regular,Sales
17111,3833,manager,Sales
17114,3628,regular,Marketing
17130,4514,regular,Customer Success
17138,4286,regular,Sales
17154,4802,manager,Sales
17172,4286,regular,Sales
27339,5424,manager,Marketing
27345,5561,manager,Marketing
27347,5577,manager,Sales
27348,5221,manager,Sales
27352,4904,regular,Sales
27353,4904,regular,Marketing
27354,4904,regular,Sales
27356,4904,regular,Sales
27357,4904,regular,Sales
27358,4904,regular,Sales
27363,4241,regular,Sales
27369,4904,regular,Sales
27370,5094,regular,Customer Success
27372,5575,manager,Marketing
27373,3744,regular,Human Resources
27376,4904,regular,Customer Success
27381,4563,regular,Sales
27382,5578,manager,Customer Success
27394,5575,manager,Marketing
27397,5172,regular,Sales
27401,5080,regular,Sales
27402,3378,regular,Sales
27410,5578,manager,Marketing
27414,4946,regular,Sales
27415,3993,regular,Marketing
27419,3454,regular,Sales
27420,3454,regular,Sales
27422,3454,regular,Sales
27423,3454,regular,Sales
27426,5580,manager,Other
27436,5495,manager,Sales
27437,5495,manager,Customer Success
27444,3462,regular,Sales
27447,5483,manager,Marketing
27453,5309,manager,Marketing
27457,5126,manager,Marketing
27460,3989,regular,Sales
27468,5080,regular,Sales
27474,4241,regular,Sales
27475,5280,regular,Customer Success
27478,3173,manager,Sales
27484,5280,regular,Customer Success
27505,5280,regular,Customer Success
27518,5586,manager,Marketing
27522,5587,manager,Sales
27528,5588,manager,Sales
27530,5589,manager,Marketing
27532,5093,regular,Sales
27538,4643,manager,Other
27550,4905,regular,Sales
27551,4007,regular,Sales
27554,3337,manager,Marketing
27557,4946,regular,Sales
27559,4643,manager,Marketing
27560,4191,regular,Sales
27564,5553,regular,Sales
27573,5280,regular,Marketing
27574,4241,regular,Human Resources
27575,5564,regular,Sales
27576,5591,manager,Marketing
27577,5564,regular,Sales
27581,5564,regular,Sales
27594,3989,regular,Sales
27596,5507,regular,Sales
27599,5516,regular,Sales
27616,4818,regular,Sales
27623,5093,regular,Other
27625,5418,regular,Marketing
27639,3771,regular,Sales
27649,4195,regular,Sales
27651,4241,regular,Sales
27652,5586,manager,Marketing
27661,4241,regular,Sales
27666,4870,regular,Sales
27667,4870,regular,Customer Success
27673,4643,regular,Sales
27681,5590,manager,Marketing
27691,5139,regular,Sales
27692,5559,regular,Customer Success
27695,5383,regular,Sales
27710,5603,manager,Marketing
27731,5056,manager,Marketing
27732,4979,regular,Sales
27736,5072,regular,Sales
27738,5604,manager,Marketing
27742,5597,manager,Marketing
27746,5607,manager,Marketing
27747,5608,manager,Marketing
27748,5609,manager,Marketing
27767,4904,regular,Marketing
27768,3989,regular,Sales
37732,6052,regular,Marketing
37736,6052,manager,Marketing
37738,5793,manager,Marketing
37739,5027,manager,Sales
37744,4191,regular,Sales
37745,3431,regular,Sales
37746,3711,regular,Sales
37751,6176,regular,Other
37757,4870,regular,Sales
37761,5652,manager,Sales
37765,6176,regular,Other
37766,6176,regular,Customer Success
37767,6228,regular,Sales
37771,5608,regular,Sales
37774,6403,regular,Sales
37775,6403,regular,Sales
37777,5349,regular,Sales
37781,4775,regular,Sales
37784,6035,regular,Sales
37786,5307,regular,Sales
37787,6262,manager,Other
37788,6412,manager,Marketing
37795,6411,manager,Sales
37798,5516,regular,Sales
37799,6332,manager,Sales
37805,6221,regular,Customer Success
37806,6221,regular,Sales
37807,5522,manager,Marketing
37811,5244,regular,Sales
37813,5542,manager,Marketing
37814,3989,regular,Sales
37815,5542,manager,Marketing
37817,3462,regular,Sales
37820,5201,regular,Sales
37822,4818,regular,Sales
37823,4683,manager,Marketing
37825,5489,regular,Sales
37828,3989,regular,Customer Success
37831,5516,regular,Sales
37833,4007,regular,Sales
37834,4007,regular,Sales
37836,4643,regular,Sales
37837,5591,manager,Human Resources
37839,4195,regular,Sales
37840,6221,regular,Sales
37841,5244,regular,Sales
37843,5036,regular,Sales
37845,5244,regular,Sales
37846,6261,regular,Sales
37851,5323,regular,Other
37854,5323,regular,Other
37856,5323,regular,Sales
37858,5323,regular,Sales
37859,5172,manager,Sales
37864,6175,regular,Sales
37865,5323,regular,Other
37866,6421,manager,Marketing
37870,5663,regular,Sales
37871,6348,manager,Human Resources
37872,5424,manager,Sales
37874,5323,manager,Sales
37878,6304,manager,Marketing
37879,5058,regular,Sales
37880,6175,regular,Sales
37881,3363,manager,Marketing
37883,6422,manager,Other
37887,6342,regular,Sales
37888,3744,manager,Marketing
37889,6270,manager,Sales
37890,6342,regular,Sales
37891,5323,regular,Other
37892,5646,regular,Sales
37894,5646,regular,Other
37897,4670,regular,Sales
37898,4737,regular,Sales
37899,5323,manager,Marketing
37905,5323,regular,Sales
37911,6036,manager,Sales
37915,5489,regular,Sales
37916,6423,manager,Marketing
37917,6270,regular,Sales
37924,5033,regular,Customer Success
37926,4149,regular,Marketing
37928,6258,regular,Sales
37930,6258,regular,Sales
37931,6275,regular,Sales
37932,6424,manager,Sales
37933,6258,regular,Customer Success
37935,6258,regular,Sales
37936,5039,regular,Sales
37938,6258,regular,Sales
37939,6258,regular,Sales
37940,6258,regular,Sales
37941,6258,regular,Sales
37945,6307,regular,Sales
37948,6258,regular,Sales
37949,6258,regular,Sales
37950,6307,regular,Sales
37954,6307,regular,Sales
37955,4818,regular,Sales
37959,5510,regular,Sales
37960,4703,manager,Customer Success
37963,5094,regular,Sales
37966,5080,regular,Sales
37968,6258,regular,Sales
37971,6210,regular,Sales
37974,6307,regular,Sales
37975,6210,regular,Sales
37978,5650,regular,Sales
37979,6228,regular,Customer Success
37981,6307,regular,Sales
37985,5323,regular,Sales
37987,5631,regular,Sales
37988,5219,manager,Sales
37991,5663,regular,Sales
37992,6258,regular,Sales
37994,6258,regular,Sales
37999,6235,regular,Sales
38000,6235,regular,Sales
38001,3431,regular,Sales
38002,6235,regular,Sales
38004,6235,regular,Sales
38005,6258,regular,Sales
38007,6235,regular,Sales
38008,6258,regular,Sales
38009,6235,regular,Sales
38011,6235,regular,Sales
38012,6235,regular,Sales
38013,5072,manager,Marketing
38015,3173,manager,Sales
38016,6235,regular,Sales
38017,6235,regular,Sales
38018,4885,manager,Marketing
38019,6304,manager,Marketing
38020,6235,regular,Sales
38021,4965,regular,Sales
38023,4856,regular,Sales
38024,6235,regular,Sales
38026,3431,regular,Sales
38028,4914,manager,Sales
38034,6428,manager,Marketing
38037,6099,regular,Sales
38038,6099,regular,Sales
38046,3431,regular,Sales
38048,4229,manager,Marketing
38049,6177,regular,Sales
38052,6261,regular,Sales
38053,6363,manager,Marketing
38055,4731,regular,Sales
38056,6258,regular,Sales
38057,5080,regular,Sales
38058,6177,regular,Sales
38062,6258,regular,Sales
38063,6270,regular,Human Resources
38064,6235,regular,Sales
38068,6236,manager,Sales
38069,4580,regular,Customer Success
38071,5841,manager,Marketing
38072,6275,regular,Sales
38074,6276,manager,Sales
38075,6177,regular,Sales
38077,5310,regular,Sales
38079,6342,manager,Sales
38081,6210,regular,Sales
38084,5199,regular,Sales
38091,4818,regular,Sales
38092,6258,regular,Sales
38093,6177,regular,Sales
38094,6177,regular,Sales
38097,5658,regular,Marketing
38098,5510,regular,Sales
38099,5310,regular,Sales
38104,5310,regular,Sales
38108,5729,manager,Marketing
38110,6177,regular,Sales
38111,6429,manager,Marketing
38114,5126,regular,Sales
38117,5126,regular,Sales
38119,6235,regular,Sales
38120,5126,regular,Sales
38121,5199,regular,Sales
38122,3431,regular,Sales
38125,5216,manager,Marketing
38129,5126,regular,Sales
38130,3833,manager,Other
38134,6177,regular,Sales
38142,4191,regular,Sales
38145,5118,regular,Sales
38146,5118,regular,Sales
38147,5502,regular,Sales
38149,6402,manager,Marketing
38151,5610,manager,Marketing
38153,4870,regular,Sales
38156,4870,regular,Sales
38157,6258,regular,Sales
38164,5126,regular,Marketing
38165,5199,regular,Sales
38166,5199,regular,Sales
38168,5126,regular,Sales
38169,5339,manager,Marketing
38173,4932,manager,Marketing
38176,6433,manager,Sales
38177,4226,regular,Sales
38178,6423,manager,Sales
38179,5954,regular,Customer Success
38180,4818,regular,Sales
38181,5784,manager,Marketing
38182,5954,regular,Customer Success
38183,6052,regular,Marketing
38185,5244,regular,Sales
38186,6039,regular,Sales
38187,5470,regular,Sales
38188,6052,manager,Marketing
38191,6268,manager,Marketing
38194,5118,regular,Human Resources
38195,5265,regular,Sales
38199,4870,regular,Sales
38204,6434,manager,Marketing
38205,6344,manager,Marketing
38206,4297,manager,Customer Success
38207,5631,regular,Sales
38217,5516,manager,Marketing
38218,6334,regular,Sales
38219,6334,regular,Sales
38223,5072,regular,Sales
38224,5280,regular,Customer Success
38227,5615,regular,Sales
38228,5954,regular,Customer Success
38230,5072,regular,Sales
38231,5072,regular,Sales
3789,3173,manager,Other
3834,3173,manager,Sales
3866,3186,regular,Sales
3871,3186,regular,Sales
3881,3218,manager,Sales
3960,3240,manager,Marketing
4043,3262,manager,Sales
4256,3340,manager,Other
4440,3173,manager,Sales
4466,3340,regular,Sales
4480,3173,regular,Marketing
4582,3382,manager,Sales
4754,3173,manager,Sales
4762,3382,manager,Marketing
4890,3462,manager,Marketing
4894,3463,manager,Marketing
5009,3462,regular,Sales
5010,3462,regular,Sales
5050,3462,regular,Sales
5051,3462,regular,Sales
5053,3462,regular,Sales
5085,3520,manager,Marketing
5096,3357,manager,Sales
5111,3520,manager,Marketing
5155,3215,regular,Sales
5168,3357,regular,Marketing
5237,3388,regular,Sales
5242,3565,manager,Other
5275,3571,manager,Other
5284,3215,regular,Sales
5371,3186,regular,Sales
5426,3363,regular,Sales
5488,3340,regular,Other
5523,3363,regular,Sales
5526,3363,regular,Sales
5564,3454,manager,Sales
5644,3571,manager,Marketing
5706,3173,regular,Marketing
5773,3454,regular,Sales
5776,3454,regular,Sales
5794,3454,regular,Sales
5818,3454,regular,Sales
5823,3454,manager,Sales
5824,3454,regular,Sales
5864,3744,manager,Marketing
5888,3454,regular,Sales
17194,4905,regular,Sales
17232,5020,regular,Sales
17234,4932,regular,Sales
17238,4672,regular,Sales
17242,4286,regular,Sales
17268,4870,regular,Sales
17274,4785,regular,Sales
17278,5066,manager,Marketing
17282,4262,manager,Customer Success
17331,5070,manager,Marketing
17342,4670,regular,Customer Success
17347,3989,regular,Sales
17348,4286,manager,Marketing
17353,3989,regular,Sales
17354,4670,manager,Sales
17379,4760,regular,Sales
17392,3634,regular,Sales
17409,4995,regular,Sales
17425,5049,regular,Sales
17434,4946,manager,Marketing
17439,5068,regular,Marketing
17444,5068,regular,Customer Success
17467,4965,regular,Sales
17469,3357,regular,Sales
17476,5072,regular,Marketing
17478,3233,manager,Marketing
17495,5081,manager,Marketing
17496,5072,manager,Marketing
17543,5072,regular,Sales
17548,5072,regular,Sales
17553,4007,regular,Sales
17625,4995,regular,Sales
17642,4965,regular,Sales
17650,4965,regular,Sales
17668,5066,regular,Sales
17673,5036,manager,Marketing
17678,3454,regular,Sales
17680,4286,regular,Sales
17688,5036,regular,Sales
17698,3454,regular,Sales
17704,4438,regular,Sales
17739,3454,regular,Sales
17746,3454,regular,Sales
17747,3454,regular,Sales
17748,3454,regular,Sales
17756,3454,regular,Sales
17758,3454,regular,Sales
17760,3454,regular,Sales
17761,3454,regular,Sales
17762,3454,regular,Sales
17763,3454,regular,Sales
17764,3454,regular,Sales
17769,4965,regular,Sales
17772,4965,regular,Sales
17790,4580,regular,Sales
17812,4284,manager,Sales
17821,4438,regular,Sales
17824,4965,regular,Sales
17826,4149,manager,Marketing
17827,4965,regular,Sales
17857,5021,regular,Sales
17866,4946,regular,Sales
17877,3173,regular,Customer Success
17908,5072,manager,Marketing
17917,5094,manager,Marketing
17924,5080,manager,Marketing
17929,5093,regular,Customer Success
17932,4959,regular,Sales
17962,4286,regular,Sales
17964,4643,regular,Sales
17976,5095,manager,Other
17981,5058,manager,Marketing
17986,4670,regular,Sales
17989,4195,regular,Sales
18016,4744,regular,Sales
18021,5026,regular,Sales
18027,5033,manager,Marketing
18035,3900,regular,Other
18084,4241,regular,Sales
18087,3337,regular,Sales
18097,4241,regular,Sales
18098,3858,manager,Marketing
18099,3173,manager,Sales
18114,4239,regular,Sales
18118,5033,manager,Other
18134,4965,regular,Sales
18143,4965,regular,Sales
18160,4965,regular,Sales
18164,4824,regular,Sales
18174,4870,regular,Other
18181,4262,manager,Marketing
18182,4286,regular,Sales
18189,4286,regular,Sales
18205,3323,regular,Customer Success
18221,5056,regular,Sales
18229,4137,regular,Sales
18242,3833,manager,Other
18248,4286,regular,Sales
18250,3431,regular,Sales
18253,4672,manager,Marketing
18260,3833,manager,Sales
18266,5109,manager,Marketing
18268,3186,regular,Sales
18280,5092,manager,Marketing
18285,4737,regular,Sales
18320,3431,regular,Sales
18322,4195,regular,Sales
18323,4904,regular,Sales
18346,5119,manager,Marketing
18352,4941,regular,Sales
18358,4990,regular,Sales
18359,4990,regular,Sales
18362,4868,manager,Marketing
18363,4286,regular,Sales
18369,4625,regular,Sales
18374,4438,regular,Marketing
18375,5015,manager,Marketing
18382,5121,manager,Marketing
18388,4856,regular,Sales
18412,5126,manager,Marketing
18428,4870,regular,Sales
18430,5118,regular,Marketing
18432,4580,regular,Sales
18440,4226,regular,Sales
18451,4241,regular,Sales
18452,4241,regular,Sales
18459,4241,regular,Sales
18461,4626,regular,Sales
18466,4927,manager,Other
18479,5131,manager,Human Resources
18487,3173,manager,Human Resources
18488,4779,regular,Sales
18491,3833,manager,Sales
18499,4722,manager,Customer Success
18508,4195,regular,Sales
18509,4737,regular,Sales
18519,4625,regular,Other
27769,3989,regular,Sales
27771,3989,regular,Sales
27773,3989,regular,Sales
27774,3989,regular,Sales
27779,5516,regular,Sales
27783,3428,regular,Sales
27785,3378,manager,Marketing
27789,5313,manager,Marketing
27790,5608,manager,Marketing
27795,5033,regular,Customer Success
27798,3989,regular,Sales
27800,3431,regular,Sales
27801,4241,manager,Marketing
27810,4946,regular,Sales
27811,5310,regular,Sales
27812,4946,regular,Sales
27815,5131,manager,Human Resources
27817,5614,manager,Marketing
27820,4643,regular,Sales
27823,5139,regular,Sales
27825,4946,regular,Sales
27826,4580,regular,Sales
27834,5113,manager,Sales
27835,5113,manager,Sales
27836,5616,regular,Marketing
27838,5601,manager,Other
27846,5579,manager,Human Resources
27852,3431,regular,Customer Success
27853,5603,manager,Marketing
27863,4818,regular,Sales
27869,3462,regular,Sales
27871,4946,regular,Sales
27880,5617,manager,Marketing
27882,5502,manager,Marketing
27885,5618,regular,Human Resources
27887,5618,manager,Human Resources
27890,3989,regular,Sales
27892,4932,regular,Sales
27898,3431,regular,Sales
27901,3431,regular,Sales
27904,5609,manager,Marketing
27906,5568,regular,Marketing
27918,4948,regular,Sales
27934,4837,manager,Sales
27938,4174,regular,Sales
27939,4802,manager,Marketing
27945,5216,manager,Marketing
27949,5610,regular,Marketing
27950,5610,manager,Sales
27958,5603,regular,Customer Success
27960,5603,regular,Customer Success
27961,4286,regular,Sales
27966,5603,manager,Marketing
27970,5603,regular,Customer Success
27971,4286,regular,Sales
27972,4286,regular,Sales
27973,4286,regular,Sales
27974,4286,regular,Sales
27975,4286,regular,Sales
27978,5603,regular,Customer Success
27980,5502,regular,Sales
27982,3833,manager,Sales
27996,5603,regular,Customer Success
27998,4262,regular,Sales
28000,5238,manager,Customer Success
28002,5534,manager,Marketing
28012,5622,manager,Marketing
28013,4856,regular,Sales
28015,3454,regular,Sales
28016,3454,regular,Sales
28017,3454,regular,Sales
28018,3454,regular,Marketing
28019,3454,regular,Sales
28020,3454,regular,Sales
28021,3454,regular,Sales
28022,3454,regular,Sales
28023,3454,regular,Sales
28032,3431,regular,Sales
28033,3899,manager,Marketing
28040,5119,manager,Sales
28051,5603,regular,Customer Success
28056,5624,manager,Marketing
28067,5310,regular,Sales
28068,3320,regular,Marketing
28070,5118,manager,Sales
28076,4195,manager,Marketing
28077,4856,regular,Sales
28080,5571,regular,Sales
28084,5571,regular,Sales
28085,5603,manager,Marketing
28088,3431,regular,Sales
28089,5585,manager,Marketing
28090,5244,regular,Sales
28092,4241,regular,Sales
28093,5021,manager,Human Resources
28096,5615,manager,Marketing
28097,4241,regular,Sales
28100,5596,manager,Marketing
28106,4785,regular,Sales
28114,5216,manager,Marketing
28116,5199,manager,Sales
28117,5199,regular,Sales
28125,5607,manager,Marketing
28127,5607,regular,Marketing
28130,5607,regular,Marketing
28145,5392,manager,Customer Success
28150,5283,regular,Sales
28158,4286,regular,Human Resources
28161,5548,regular,Sales
28172,3561,regular,Marketing
28173,5562,manager,Marketing
28178,3454,manager,Marketing
28181,4782,manager,Other
28183,5126,manager,Marketing
28184,5119,manager,Marketing
28185,5547,regular,Sales
28187,4775,manager,Marketing
28189,5126,manager,Marketing
28193,5072,regular,Sales
28208,5631,manager,Marketing
28210,5574,regular,Sales
